iter	MultiClass
0	1.400146792
1	1.253679998
2	1.140123998
3	1.049340914
4	0.9748667667
5	0.912512004
6	0.859505725
7	0.8142694487
8	0.7760780295
9	0.7444414227
10	0.7151879475
11	0.6906675463
12	0.6669960507
13	0.6473430928
14	0.6299197963
15	0.6138411038
16	0.5983981676
17	0.5844316422
18	0.5716217157
19	0.5611078061
20	0.5514602961
21	0.5421214983
22	0.5348617189
23	0.5277697708
24	0.5205823615
25	0.5143982778
26	0.5091548259
27	0.5044293303
28	0.5000924481
29	0.4957759335
30	0.4920193965
31	0.4888012423
32	0.4854173262
33	0.482404947
34	0.480002059
35	0.4774117806
36	0.4753519283
37	0.4731111698
38	0.4712499687
39	0.4693203914
40	0.4672762346
41	0.4653183649
42	0.4644444919
43	0.4628488454
44	0.4615759632
45	0.4603256915
46	0.4593145041
47	0.4583218062
48	0.4575615192
49	0.4565617616
50	0.4554526014
51	0.4546728529
52	0.4538045546
53	0.4532474501
54	0.4527982323
55	0.4517473947
56	0.4512396273
57	0.4502988824
58	0.4497487242
59	0.4489370752
60	0.4483108601
61	0.4476697211
62	0.4471882678
63	0.4466407499
64	0.4461550893
65	0.4453593041
66	0.4445743076
67	0.4440564924
68	0.443565464
69	0.4429847156
70	0.4427118587
71	0.4424593145
72	0.44196469
73	0.4416517821
74	0.4409109386
75	0.4405140148
76	0.4400011738
77	0.4397449543
78	0.4391421186
79	0.4387942656
80	0.4382896956
81	0.4378242068
82	0.437353568
83	0.4370359454
84	0.4365999933
85	0.4364471195
86	0.4361070955
87	0.435875608
88	0.435571526
89	0.4352126073
90	0.4349502973
91	0.4343824931
92	0.4338349434
93	0.4336346187
94	0.4331989238
95	0.4327985912
96	0.4326597717
97	0.4323271538
98	0.4320362607
99	0.4315104394
100	0.4310461647
101	0.4307438843
102	0.430509662
103	0.4300208319
104	0.4296318272
105	0.4294431112
106	0.4292472346
107	0.4285697714
108	0.428385866
109	0.4282282638
110	0.4280042155
111	0.4278544531
112	0.4275934953
113	0.4272086689
114	0.426866529
115	0.4267488421
116	0.4263746733
117	0.4260095154
118	0.4256405612
119	0.4255057432
120	0.4253155578
121	0.4250962073
122	0.4247641665
123	0.4244655527
124	0.4241539293
125	0.4238692723
126	0.4235144427
127	0.4232399046
128	0.4228753859
129	0.4224229204
130	0.4222857975
131	0.4219381596
132	0.421509919
133	0.4209864723
134	0.420703957
135	0.420546411
136	0.420252618
137	0.4199161528
138	0.4196037407
139	0.4193158725
140	0.4189256287
141	0.418747699
142	0.4184967359
143	0.4184150962
144	0.4182596727
145	0.4180407994
146	0.4178024061
147	0.4175912031
148	0.4173729565
149	0.4169513604
150	0.4166037349
151	0.416395422
152	0.4161218705
153	0.4157051896
154	0.4154598086
155	0.4150678658
156	0.4149214044
157	0.4145544972
158	0.4142328367
159	0.4141075102
160	0.4137553246
161	0.4134081483
162	0.4131971612
163	0.4130831003
164	0.4128433033
165	0.412591682
166	0.4124617591
167	0.4122198084
168	0.4118112891
169	0.4115012396
170	0.4112912027
171	0.4111525564
172	0.411056098
173	0.4107997789
174	0.4105306473
175	0.410346219
176	0.4101193067
177	0.4100103801
178	0.4096732596
179	0.4095835869
180	0.4093507285
181	0.4091375891
182	0.408961214
183	0.4086448713
184	0.40843152
185	0.4082780881
186	0.4080411737
187	0.407715887
188	0.4075902815
189	0.4073551368
190	0.4070992811
191	0.4067655636
192	0.406380219
193	0.4060987912
194	0.4058524054
195	0.405712529
196	0.4053299005
197	0.4050262514
198	0.4048004533
199	0.4046050161
200	0.404244733
201	0.4040661376
202	0.4038734053
203	0.403623317
204	0.4034121855
205	0.4032058755
206	0.4030299668
207	0.4028709222
208	0.402624747
209	0.4024147268
210	0.4021957081
211	0.401876384
212	0.4016786504
