iter	Passed	Remaining
0	10	10800
1	16	8373
2	22	7569
3	28	7219
4	34	6916
5	40	6628
6	45	6428
7	50	6288
8	56	6241
9	62	6192
10	67	6110
11	73	6041
12	78	5976
13	84	5976
14	90	5939
15	95	5893
16	100	5824
17	106	5784
18	111	5732
19	116	5704
20	124	5783
21	128	5728
22	133	5687
23	139	5661
24	144	5630
25	149	5611
26	155	5610
27	161	5596
28	248	8316
29	253	8200
30	258	8085
31	264	8002
32	270	7919
33	275	7824
34	280	7727
35	285	7643
36	291	7583
37	297	7519
38	302	7447
39	307	7371
40	312	7307
41	320	7299
42	325	7250
43	331	7195
44	338	7191
45	343	7133
46	357	7248
47	362	7194
48	368	7144
49	373	7091
50	379	7054
51	384	7008
52	389	6964
53	394	6916
54	399	6869
55	404	6824
56	410	6792
57	416	6757
58	421	6715
59	426	6674
60	431	6639
61	436	6610
62	441	6567
63	446	6527
64	451	6495
65	457	6477
66	463	6452
67	468	6416
68	473	6384
69	481	6392
70	486	6360
71	491	6328
72	495	6295
73	500	6264
74	505	6238
75	512	6233
76	517	6206
77	524	6200
78	530	6183
79	536	6173
80	542	6153
81	547	6131
82	553	6118
83	558	6091
84	563	6069
85	569	6052
86	574	6029
87	579	6007
88	584	5986
89	589	5962
90	595	5949
91	601	5931
92	606	5910
93	611	5890
94	616	5876
95	621	5853
96	626	5834
97	632	5817
98	637	5799
99	642	5783
100	647	5761
101	652	5742
102	657	5721
103	661	5701
104	666	5681
105	672	5667
106	677	5652
107	682	5638
108	687	5618
109	692	5599
110	698	5593
111	704	5585
112	710	5579
113	717	5578
114	725	5584
115	731	5573
116	737	5562
117	743	5554
118	748	5543
119	754	5533
120	759	5515
121	764	5499
122	768	5482
123	774	5473
124	780	5460
125	789	5474
126	794	5460
127	799	5447
128	805	5438
129	810	5422
130	814	5405
131	823	5417
132	829	5405
133	834	5392
134	839	5379
135	844	5364
136	849	5353
137	854	5338
138	860	5330
139	866	5320
140	870	5304
141	876	5297
142	882	5290
143	888	5284
144	893	5269
145	899	5262
146	905	5254
147	912	5251
148	923	5273
149	930	5271
150	937	5269
151	943	5262
152	948	5253
153	965	5302
154	972	5301
155	980	5302
156	985	5293
157	993	5296
158	1000	5290
159	1006	5285
160	1014	5285
161	1022	5287
162	1033	5308
163	1039	5300
164	1046	5294
165	1053	5292
166	1060	5287
167	1078	5340
168	1085	5337
169	1090	5326
170	1096	5314
171	1102	5306
172	1110	5310
173	1117	5305
174	1123	5297
175	1128	5284
176	1135	5279
177	1142	5278
178	1149	5271
179	1155	5263
180	1161	5255
181	1166	5244
182	1172	5236
183	1179	5228
184	1184	5220
185	1190	5210
186	1195	5199
187	1202	5191
188	1213	5206
189	1219	5198
190	1224	5187
191	1231	5183
192	1238	5178
193	1244	5172
194	1250	5161
195	1256	5153
196	1262	5147
197	1268	5139
198	1277	5140
199	1283	5134
200	1290	5131
201	1297	5124
202	1304	5120
203	1314	5129
204	1320	5121
205	1327	5115
206	1333	5107
207	1340	5102
208	1350	5111
209	1356	5103
210	1362	5096
211	1368	5088
212	1374	5079
213	1380	5069
214	1386	5061
215	1391	5051
216	1397	5042
217	1403	5035
218	1410	5031
219	1421	5038
220	1427	5032
221	1434	5025
222	1440	5017
223	1446	5010
224	1535	5288
225	1549	5308
226	1558	5306
227	1570	5317
228	1576	5308
229	1583	5302
230	1590	5294
231	1596	5285
232	1609	5298
233	1614	5286
234	1620	5276
235	1627	5267
236	1633	5257
237	1641	5257
238	1647	5247
239	1654	5239
240	1661	5231
241	1666	5221
242	1674	5215
243	1679	5204
244	1685	5194
245	1691	5183
246	1697	5173
247	1702	5161
248	1711	5160
249	1717	5151
250	1722	5140
251	1727	5127
252	1732	5115
253	1739	5107
254	1745	5100
255	1751	5090
256	1756	5077
257	1762	5067
258	1768	5058
259	1775	5052
260	1780	5042
261	1786	5031
262	1791	5019
263	1796	5008
264	1805	5007
265	1810	4996
266	1815	4985
267	1821	4974
268	1827	4965
269	1834	4958
270	1839	4948
271	1845	4940
272	1850	4929
273	1857	4921
274	1863	4913
275	1870	4906
276	1875	4895
277	1881	4887
278	1887	4878
279	1893	4869
280	1900	4862
281	1906	4853
282	1912	4845
283	1918	4836
284	1923	4826
285	1930	4818
286	1935	4808
287	2018	4990
288	2024	4981
289	2030	4971
290	2036	4962
291	2042	4953
292	2049	4944
293	2054	4933
294	2061	4926
295	2066	4915
296	2073	4908
297	2083	4907
298	2090	4901
299	2096	4892
300	2103	4884
301	2110	4876
302	2120	4877
303	2126	4869
304	2133	4862
305	2141	4855
306	2147	4846
307	2161	4857
308	2169	4851
309	2177	4846
310	2183	4838
311	2189	4828
312	2197	4824
313	2205	4817
314	2210	4807
315	2216	4797
316	2223	4790
317	2233	4789
318	2238	4778
319	2243	4767
320	2249	4758
321	2255	4749
322	2264	4745
323	2270	4736
324	2275	4726
325	2281	4716
326	2286	4706
327	2292	4696
328	2299	4690
329	2305	4680
330	2310	4669
331	2316	4661
332	2322	4651
333	2327	4641
334	2333	4632
335	2339	4624
336	2347	4618
337	2352	4608
338	2358	4597
339	2365	4590
340	2371	4582
341	2377	4573
342	2383	4564
343	2389	4557
344	2395	4547
345	2400	4537
346	2405	4527
347	2412	4519
348	2418	4511
349	2426	4506
350	2432	4497
351	2438	4488
352	2444	4480
353	2450	4472
354	2460	4470
355	2466	4462
356	2473	4454
357	2479	4446
358	2485	4437
359	2498	4441
360	2504	4433
361	2509	4422
362	2515	4414
363	2521	4406
364	2526	4395
365	2532	4386
366	2537	4376
367	2543	4367
368	2549	4359
369	2555	4350
370	2561	4342
371	2567	4333
372	2573	4325
373	2579	4316
374	2583	4306
375	2595	4307
376	2602	4301
377	2609	4294
378	2616	4287
379	2623	4279
380	2647	4300
381	2654	4294
382	2661	4287
383	2667	4278
384	2674	4271
385	2680	4264
386	2688	4258
387	2695	4251
388	2703	4246
389	2715	4246
390	2722	4240
391	2730	4235
392	2738	4229
393	2751	4232
394	2758	4224
395	2764	4216
396	2850	4329
397	2855	4319
398	2862	4311
399	2869	4304
400	2876	4296
401	2883	4288
402	2889	4280
403	2896	4273
404	2904	4267
405	2914	4264
406	2921	4256
407	2927	4248
408	2935	4241
409	2942	4234
410	2955	4236
411	2962	4228
412	2970	4222
413	2977	4214
414	2983	4206
415	3001	4213
416	3007	4204
417	3013	4196
418	3019	4187
419	3026	4179
420	3037	4178
421	3043	4168
422	3048	4158
423	3054	4149
424	3060	4140
425	3143	4236
426	3150	4227
427	3158	4220
428	3163	4210
429	3169	4201
430	3179	4197
431	3185	4188
432	3192	4179
433	3197	4170
434	3204	4162
435	3210	4153
436	3217	4144
437	3223	4136
438	3230	4128
439	3238	4121
440	3248	4117
441	3253	4107
442	3259	4098
443	3267	4091
444	3274	4083
445	3286	4081
446	3291	4072
447	3299	4064
448	3304	4055
449	3310	4046
450	3324	4046
451	3330	4037
452	3337	4030
453	3343	4020
454	3349	4011
455	3355	4003
456	3361	3994
457	3367	3984
458	3373	3975
459	3379	3967
460	3385	3958
461	3391	3949
462	3397	3940
463	3403	3932
464	3411	3924
465	3422	3922
466	3428	3912
467	3434	3904
468	3519	3984
469	3525	3975
470	3531	3966
471	3538	3957
472	3544	3948
473	3553	3943
474	3559	3934
475	3566	3925
476	3572	3916
477	3577	3907
478	3587	3902
479	3593	3893
480	3600	3884
481	3605	3875
482	3612	3866
483	3621	3860
484	3627	3852
485	3634	3843
486	3640	3835
487	3647	3826
488	3659	3824
489	3666	3816
490	3672	3807
491	3679	3798
492	3684	3789
493	3695	3785
494	3701	3776
495	3719	3779
496	3726	3771
497	3733	3763
498	3740	3755
499	3747	3747
500	3754	3739
501	3761	3731
502	3768	3723
503	3774	3714
504	3790	3715
505	3796	3706
506	3804	3699
507	3810	3690
508	3817	3682
509	3838	3688
510	3844	3678
511	3850	3670
512	3859	3663
513	3869	3658
514	3875	3649
515	3882	3641
516	3888	3632
517	3895	3625
518	3910	3623
519	3915	3614
520	3922	3605
521	3928	3597
522	3934	3588
523	3947	3585
524	3953	3577
525	3960	3569
526	3967	3560
527	3973	3552
528	3983	3546
529	3989	3537
530	3996	3529
531	4002	3520
532	4009	3512
533	4026	3513
534	4032	3505
535	4040	3497
536	4048	3490
537	4060	3487
538	4067	3479
539	4075	3471
540	4083	3464
541	4089	3455
542	4095	3447
543	4102	3439
544	4109	3430
545	4116	3422
546	4123	3415
547	4130	3406
548	4136	3397
549	4142	3389
550	4150	3381
551	4159	3375
552	4165	3367
553	4170	3357
554	4176	3348
555	4182	3340
556	4187	3330
557	4194	3322
558	4199	3313
559	4205	3304
560	4211	3295
561	4217	3286
562	4223	3278
563	4228	3268
564	4235	3261
565	4242	3252
566	4249	3244
567	4265	3243
568	4273	3236
569	4281	3229
570	4287	3221
571	4302	3219
572	4309	3211
573	4317	3204
574	4324	3196
575	4336	3192
576	4344	3184
577	4352	3177
578	4362	3171
579	4374	3168
580	4382	3160
581	4391	3153
582	4400	3147
583	4408	3140
584	4418	3134
585	4427	3127
586	4435	3120
587	4442	3113
588	4452	3106
589	4460	3099
590	4474	3096
591	4483	3089
592	4491	3082
593	4501	3077
594	4510	3070
595	4519	3063
596	4528	3057
597	4615	3102
598	4624	3095
599	4633	3089
600	4647	3085
601	4656	3078
602	4666	3072
603	4675	3065
604	4683	3057
605	4692	3050
606	4702	3044
607	4711	3037
608	4720	3031
609	4728	3023
610	4738	3016
611	4747	3009
612	4756	3002
613	4763	2994
614	4772	2987
615	4781	2980
616	4791	2974
617	4799	2966
618	4817	2965
619	4826	2958
620	4836	2951
621	4850	2947
622	4858	2940
623	4868	2933
624	4879	2927
625	4888	2920
626	4898	2914
627	4907	2906
628	4915	2899
629	4925	2892
630	4934	2885
631	4944	2878
632	4952	2871
633	4962	2864
634	4971	2857
635	4980	2850
636	4991	2844
637	5000	2837
638	5027	2840
639	5039	2834
640	5048	2827
641	5071	2827
642	5083	2822
643	5092	2815
644	5115	2815
645	5125	2808
646	5135	2801
647	5159	2802
648	5172	2797
649	5183	2791
650	5205	2790
651	5215	2783
652	5228	2778
653	5246	2775
654	5255	2768
655	5267	2762
656	5281	2757
657	5290	2749
658	5300	2742
659	5312	2736
660	5321	2729
661	5332	2722
662	5344	2716
663	5357	2710
664	5368	2704
665	5384	2700
666	5393	2692
667	5404	2685
668	5424	2683
669	5433	2676
670	5443	2668
671	5459	2664
672	5471	2658
673	5483	2652
674	5499	2647
675	5511	2641
676	5521	2634
677	5530	2626
678	5546	2622
679	5556	2614
680	5567	2607
681	5578	2601
682	5589	2594
683	5602	2588
684	5625	2587
685	5636	2579
686	5647	2573
687	5662	2568
688	5672	2560
689	5684	2553
690	5709	2553
691	5720	2546
692	5731	2539
693	5751	2535
694	5761	2528
695	5773	2521
696	5784	2514
697	5795	2507
698	5807	2500
699	5830	2498
700	5842	2492
701	5852	2484
702	5868	2479
703	5878	2471
704	5889	2464
705	5910	2461
706	5919	2453
707	5929	2445
708	5951	2442
709	5961	2435
710	5971	2427
711	5984	2420
712	5993	2412
713	6082	2436
714	6091	2428
715	6102	2420
716	6111	2412
717	6122	2404
718	6131	2396
719	6141	2388
720	6154	2381
721	6164	2373
722	6174	2365
723	6196	2362
724	6207	2354
725	6216	2346
726	6235	2341
727	6246	2333
728	6258	2326
729	6281	2323
730	6292	2315
731	6302	2307
732	6326	2304
733	6336	2296
734	6347	2288
735	6357	2280
736	6366	2271
737	6376	2263
738	6387	2255
739	6417	2254
740	6440	2251
741	6450	2242
742	6464	2236
743	6559	2256
744	6574	2250
745	6585	2242
746	6595	2233
747	6608	2226
748	6618	2217
749	6627	2209
750	6639	2201
751	6650	2193
752	6659	2184
753	6669	2175
754	6689	2170
755	6698	2161
756	6706	2152
757	6718	2145
758	6728	2136
759	6738	2127
760	6754	2121
761	6766	2113
762	6774	2104
763	6786	2096
764	6797	2088
765	6806	2079
766	6816	2070
767	6826	2062
768	6835	2053
769	6846	2045
770	6865	2039
771	6877	2031
772	6888	2022
773	6898	2014
774	6910	2006
775	6921	1997
776	6939	1991
777	6949	1982
778	6958	1974
779	6972	1966
780	6983	1958
781	6991	1949
782	7005	1941
783	7014	1932
784	7021	1923
785	7031	1914
786	7040	1905
787	7048	1896
788	7057	1887
789	7071	1879
790	7081	1871
791	7093	1862
792	7103	1854
793	7113	1845
794	7123	1836
795	7133	1828
796	7145	1820
797	7155	1811
798	7167	1803
799	7188	1797
800	7198	1788
801	7207	1779
802	7220	1771
803	7229	1762
804	7239	1753
805	7250	1745
806	7260	1736
807	7271	1727
808	7282	1719
809	7292	1710
810	7304	1702
811	7321	1695
812	7333	1686
813	7344	1678
814	7360	1670
815	7370	1661
816	7380	1653
817	7396	1645
